".colorLevels",".ci",".y",".sids",".axisIndex","S100QC..Run",".ri",".colorHash",".xLevels",".nXLevels",".nValuesPerXLevel",".xSeqPerLevels",".xs",".ys",".y0s"
1,23,3.822826330820044,1431,0,"b",49,12905,0,1,1,0,32767,6084,65535
0,20,4.602996423551418,1432,0,"a",50,12774,0,1,1,0,32767,14672,65535
1,21,4.634023319172043,1433,0,"b",50,12905,0,1,1,0,32767,15801,65535
0,20,5.010171805057291,1434,0,"a",51,12774,0,1,1,0,32767,20234,65535
1,21,4.937415462621977,1435,0,"b",51,12905,0,1,1,0,32767,18161,65535
1,22,5.069741071290561,1436,0,"b",50,12905,0,1,1,0,32767,31665,65535
1,23,4.777891099356395,1437,0,"b",50,12905,0,1,1,0,32767,21039,65535
1,22,5.198375540217913,1438,0,"b",51,12905,0,1,1,0,32767,25597,65535
1,23,5.072979445357105,1439,0,"b",51,12905,0,1,1,0,32767,22024,65535
1,16,11.927265145656081,1440,0,"b",52,12905,0,1,1,0,32767,38298,65535
1,17,12.062616998550967,1441,0,"b",52,12905,0,1,1,0,32767,42522,65535
1,16,10.718484411170051,1442,0,"b",53,12905,0,1,1,0,32767,37619,65535
1,17,10.639016413547296,1443,0,"b",53,12905,0,1,1,0,32767,34365,65535
0,18,12.514044080551905,1444,0,"a",52,12774,0,1,1,0,32767,56610,65535
0,19,12.021193544921909,1445,0,"a",52,12774,0,1,1,0,32767,41230,65535
0,18,11.23939587982247,1446,0,"a",53,12774,0,1,1,0,32767,58955,65535
0,19,10.795120733777972,1447,0,"a",53,12774,0,1,1,0,32767,40758,65535
1,16,11.102669024340392,1448,0,"b",54,12905,0,1,1,0,32767,38804,65535
1,17,11.120555783548491,1449,0,"b",54,12905,0,1,1,0,32767,39336,65535
1,16,4.302746681683742,1450,0,"b",55,12905,0,1,1,0,32767,22872,65535
1,17,4.063242433991819,1451,0,"b",55,12905,0,1,1,0,32767,16048,65535
0,18,11.775905283432552,1452,0,"a",54,12774,0,1,1,0,32767,58858,65535
0,19,11.155176231193918,1453,0,"a",54,12774,0,1,1,0,32767,40368,65535
0,18,5.739685095519798,1454,0,"a",55,12774,0,1,1,0,32767,63815,65535
0,19,4.9655665029361264,1455,0,"a",55,12774,0,1,1,0,32767,41758,65535
0,20,12.129134379991603,1456,0,"a",52,12774,0,1,1,0,32767,44598,65535
1,21,12.248703045587515,1457,0,"b",52,12905,0,1,1,0,32767,48329,65535
0,20,10.852190867604207,1458,0,"a",53,12774,0,1,1,0,32767,43096,65535
1,21,10.840659180819136,1459,0,"b",53,12905,0,1,1,0,32767,42624,65535
1,22,12.444696370140663,1460,0,"b",52,12905,0,1,1,0,32767,54446,65535
1,23,12.7300455028792,1461,0,"b",52,12905,0,1,1,0,32767,63350,65535
